천만관객	천만/NR+관객/NNG
'도둑들'	'/SS+도둑/NNG+들/XSN+'/SS
청각장애인은	청각장애인/NNG+은/JX
못	못/MAG
본다	보/VV+ㄴ다/EF

연일	연일/NNG
흥행을	흥행/NNG+을/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
영화	영화/NNG
'도둑들'에	'/SS+도둑/NNG+들/XSN+'/SS+에/JKB
한글자막	한글자막/NNG
서비스가	서비스/NNG+가/JKS
마련되지	마련되/VV+지/EC
않아	않/VX+아/EC
청각장애인이	청각장애인/NNG+이/JKC
볼	보/VV+ㄹ/ETM
수	수/NNB
없자,	없/VA+자/EC+,/SP
대책을	대책/NNG+을/JKO
마련해야한다는	마련하/VV+여야/EC+하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
제기됐다	제기되/VV+었/EP+다/EF

장애인정보문화누리는	장애인정보문화누리/NNG+는/JX
29일	29/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
영화	영화/NNG
'도둑들'을	'/SS+도둑/NNG+들/XSN+'/SS+을/JKO
장애인이	장애인/NNG+이/JKS
원하는	원하/VV+는/ETM
극장에서	극장/NNG+에서/JKB
제대로	제대로/MAG
관람할	관람하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
환경을	환경/NNG+을/JKO
지탄하며,	지탄하/VV+며/EC+,/SP
영화	영화/NNG
제작사나	제작사/NNG+나/JC
상영관이	상영/NNG+관/XSN+이/JKS
영화	영화/NNG
'도둑들'을	'/SS+도둑/NNG+들/XSN+'/SS+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
대책을	대책/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

'도둑들'은	'/SS+도둑/NNG+들/XSN+'/SS+은/JX
순	순/MM
제작비	제작비/NNG
110억원	110/SN+억/NR+원/NNB
막대한	막대하/VA+ㄴ/ETM
예산을	예산/NNG+을/JKO
투자,	투자/NNG+,/SP
개봉	개봉/NNG
25일만에	25/SN+일만/NNB+에/JKB
1100만	1100/SN+만/NR
관객을	관객/NNG+을/JKO
돌파하는	돌파하/VV+는/ETM
흥행을	흥행/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
