폐전선	폐전선/NNG
독점권	독점권/NNG
미끼	미끼/NNG
사기,	사기/NNG+,/SP
장애인단체	장애인단체/NNG
前간부	前/SN+간부/NNG
구속	구속/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
홍국기	홍국/NNP+기/NNG
기자	기자/NNG
=	=/SW
서울	서울/NNP
강북경찰서는	강북/NNP+경찰서/NNG+는/JX
전선	전선/NNG
재활용	재활용/NNG
업체에	업체/NNG+에/JKB
폐전선류를	폐전선류/NNG+를/JKO
독점공급하는	독점/NNG+공급하/VV+는/ETM
사업권을	사업/NNG+권/XSN+을/JKO
넘겨주겠다고	넘겨주/VV+겠/EP+다고/EC
속여	속이/VV+어/EC
수억원을	수억/NR+원/NNB+을/JKO
가로챈	가로채/VV+ㄴ/ETM
혐의(특정경제범죄가중처벌법상	혐의/NNG+(/SS+특정경제범죄가중처벌법/NNG+상/XSN
사기	사기/NNG
등)로	등/NNB+)/SS+로/JKB
장애인단체	장애인단체/NNG
사무처장	사무처/NNG+장/XSN
출신	출신/NNG
김모(46)씨를	김/NNP+모/NP+(/SS+46/SN+)/SS+씨/NNB+를/JKO
구속했다고	구속하/VV+였/EP+다고/EC
18일	18/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
김씨는	김/NNP+씨/NNB+는/JX
자신의	자신/NNG+의/JKG
상사가	상사/NNG+가/JKS
전국지체장애인협회장에	전/MM+국지체장애인협회/NNG+장/XSN+에/JKB
당선되면	당선되/VV+면/EC
협회에서	협회/NNG+에서/JKB
한국전력으로부터	한국전력/NNP+으로부터/JKB
불하받던	불하받/VV+던/ETM
폐전선ㆍ폐변압기	폐전선/NNG+ㆍ/SP+폐변압기/NNG
처분	처분/NNG
사업권을	사업/NNG+권/XSN+을/JKO
주겠다고	주/VV+겠/EP+다고/EC
속여	속이/VV+어/EC
2009년	2009/SN+년/NNB
6월부터	6/SN+월/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
2월까지	2/SN+월/NNB+까지/JX
A(78)씨한테서	A/SL+(/SS+78/SN+)/SS+씨/NNB+한테서/JKB
13회에	13/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
총	총/MM
5억3천100만원을	5/SN+억/NR+3/SN+천/NR+100/SN+만/NR+원/NNB+을/JKO
뜯어낸	뜯어내/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

조사결과	조사결과/NNG
김씨는	김/NNP+씨/NNB+는/JX
전국지체장애인협회	전/MM+국지체장애인협회/NNG
차기	차기/NNG
중앙회	중앙/NNG+회/XSN
명의의	명의/NNG+의/JKG
가짜	가짜/NNG
약정서와	약정서/NNG+와/JC
이행각서를	이행각서/NNG+를/JKO
써주기도	쓰/VV+어/EC+주/VX+기/ETN+도/JX
한	하/VX+ㄴ/EF
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

하지만	하지만/MAJ
사업권	사업/NNG+권/XSN
