김원숙씨,	김원숙/NNP+씨/NNB+,/SP
볼라드	볼라드/NNP
책임	책임/NNG
공방	공방/NNG
1심	1/SN+심/NNG
‘패소’	‘/SN+패소/NNG+’/SN

볼라드(차량	볼라드/NNG+(/SS+차량/NNG
진입용	진입/NNG+용/XSN
억제	억제/NNG
말뚝)로	말뚝/NNG+)/SS+로/JKB
인한	인하/VV+ㄴ/ETM
사고	사고/NNG
책임을	책임/NNG+을/JKO
놓고	놓/VV+고/EC
안산시와	안산시/NNP+와/JC
법정	법정/NNG
다툼을	다툼/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
김원숙(여,	김원숙/NNP+(/SS+여/NNG+,/SP
59세,	59/SN+세/NNB+,/SP
시각장애1급,	시각장애/NNG+1/SN+급/NNG+,/SP
인천	인천/NNP
부평구)씨가	부평구/NNP+)/SS+씨/NNB+가/JKS
1심에서	1/SN+심/NNG+에서/JKB
패소했다	패소하/VV+였/EP+다/EF

수원지방법원	수원/NNP+지방법원/NNG
안산지원은	안산/NNP+지원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
원고	원고/NNG
김원숙씨의	김원숙/NNP+씨/NNB+의/JKG
손해배상	손해배상/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
기각하고	기각하/VV+고/EC
안산시의	안산시/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다	들어주/VV+었/EP+다/EF

김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
30일	30/SN+일/NNB
직장	직장/NNG
인근인	인근/NNG+이/VCP+ㄴ/ETM
안산시	안산시/NNP
단원구	단원구/NNP
고잔1동의	고잔/NNP+1/SN+동/NNG+의/JKG
J마트로	J/SL+마트/NNG+로/JKB
물건을	물건/NNG+을/JKO
구입하러	구입하/VV+러/EC
가던	가/VX+던/ETM
중	중/NNB
우체국	우체국/NNG
부근	부근/NNG
J마트	J/SL+마트/NNP
부근	부근/NNG
횡단보도에	횡단보도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
볼라드에	볼라드/NNG+에/JKB
걸려	걸리/VV+어/EC
넘어졌다	넘어지/VV+었/EP+다/EC

볼라드는	볼라드/NNG+는/JX
높이	높이/NNG
50cm로	50/SN+cm/SL+로/JKB
낮고,	낮/VA+고/EC+,/SP
재질도	재질/NNG+도/JX
단단한	단단하/VA+ㄴ/ETM
화강암으로	화강암/NNG+으로/JKB
돼	되/VV+어/EC
있었다,	있/VX+었/EP+다/EC+,/SP
법정	법정/NNG
규격을	규격/NNG+을/JKO
무시한	무시하/VV+ㄴ/ETM
볼라드가	볼라드/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었던	있/VX+었/EP+던/ETM
것	것/NNB

볼라드는	볼라드/NNG+는/JX
‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의증진법’	이동편의증진법/NNG+’/SN
시행규칙에	시행규칙/NNG+에/JKB
근거해	근거하/VV+여/EC
보행자의	보행자/NNG+의/JKG
안전하고	안전하/VA+고/EC
편리한	편리하/VA+ㄴ/ETM
통행을	통행/NNG+을/JKO
방해하지	방해하/VV+지/EC
않는	않/VX+는/ETM
범위	범위/NNG
내에서	내/NNB+에서/JKB
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

또한	또한/MAG
설치	설치/NNG
시에는	시/NNB+에/JKB+는/JX
보행자의	보행자/NNG+의/JKG
안전을	안전/NNG+을/JKO
고려해	고려하/VV+여/EC
높이	높이/NNG
80∼100㎝	80/SN+∼/SO+100/SN+㎝/SW
내외,	내외/NNG+,/SP
지름은	지름/NNG+은/JX
10∼20㎝	10/SN+∼/SO+20/SN+㎝/SW
내외,	내외/NNG+,/SP
간격1	간격/NNG+1/SN

5m	5/SN+m/SL
내외로	내외/NNG+로/JKB
하고	하/VV+고/EC
재질도	재질/NNG+도/JX
보행자	보행자/NNG
충격을	충격/NNG+을/JKO
흡수할	흡수하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
재료를	재료/NNG+를/JKO
사용해야	사용하/VV+여야/EC
한다	하/VX+ㄴ다/EF

김씨는	김/NNP+씨/NNB+는/JX
이	이/MM
과정에서	과정/NNG+에서/JKB
오른손	오른손/NNG
팔목이	팔목/NNG+이/JKS
골절되는	골절/NNG+되/XSV+는/ETM
전치	전치/NNG
5주의	5/SN+주/NNB+의/JKG
중상과	중상/NNG+과/JKB
함께	함께/MAG
무릎에도	무릎/NNG+에/JKB+도/JX
타박상을	타박상/NNG+을/JKO
입었고,	입/VV+었/EP+고/EC+,/SP
5월	5/SN+월/NNB
17일	17/SN+일/NNB
의사진단	의사진단/NNG
결과	결과/NNG
10주의	10/SN+주/NNB+의/JKG
진료가	진료/NNG+가/JKS
필요하다는	필요하/VA+다는/ETM
소견이	소견/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

이에	이/NP+에/JKB
김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
수원지방법원	수원/NNP+지방법원/NNG
안산지원에	안산/NNP+지원/NNG+에/JKB
'영조물의	'/SS+영조물/NNG+의/JKG
설치	설치/NNG
또는	또는/MAG
관리상의	관리/NNG+상/XSN+의/JKG
하자'로	하/VV+자/EF+'/SS+로/JKB
인한	인하/VV+ㄴ/ETM
사고임을	사고/NNG+이/VCP+ㅁ/ETN+을/JKO
주장하며,	주장하/VV+며/EC+,/SP
안산시를	안산시/NNP+를/JKO
상대로	상대/NNG+로/JKB
손해배상	손해배상/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

한편,	한편/NNG+,/SP
이	이/NP
같은	같/VA+은/ETM
법원	법원/NNG
판결에	판결/NNG+에/JKB
