새누리,	새누리/NNP+,/SP
청와대에	청와대/NNP+에/JKB
현병철	현병철/NNG
임명	임명/NNG
우려	우려/NNG
전달할	전달하/VV+ㄹ/ETM
듯	듯/NNB

새누리당이	새누리당/NNP+이/JKS
현병철	현병철/NNP
인권위원장	인권위원장/NNG
후보자	후보자/NNG
재임명과	재임명/NNG+과/JKB
관련해	관련하/VV+여/EC
청와대에	청와대/NNP+에/JKB
우려의	우려/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
전달할	전달하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

새누리당	새누리당/NNP
김영우	김영우/NNP
대변인은	대변인/NNG+은/JX
31일	31/SN+일/NNB
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+여/EC
“새누리당	“/SL+새누리당/NNP
최고위원회에서	최고위원회/NNG+에서/JKB
현병철	현병철/NNP
인권위원장	인권위원장/NNG
후보자의	후보자/NNG+의/JKG
재임명에	재/XPN+임명/NNG+에/JKB
대해	대하/VV+여/EC
국민여론이	국민여론/NNG+이/JKS
좋지	좋/VA+지/EC
않다라는	않/VX+다라는/ETM
대해	대하/VV+여/EC
의견교환이	의견교환/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EC+”/VX+며/EC
“청와대에	“/SL+청와대/NNP+에/JKB
당의	당/NNG+의/JKG
우려를	우려/NNG+를/JKO
전달하는	전달하/VV+는/ETM
것이	것/NNB+이/JKS
좋겠다는	좋/VA+겠/EP+다는/ETM
의견이	의견/NNG+이/JKS
모아졌다”고	모으/VV+아/EC+지/VX+었/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

아직	아직/MAG
청와대에	청와대/NNP+에/JKB
전달	전달/NNG
시기	시기/NNG
및	및/MAG
방법,	방법/NNG+,/SP
누가	누구/NP+가/JKS
전달할	전달하/VV+ㄹ/ETM
것인지는	것/NNB+이/VCP+ㄴ지/EC+는/JX
정해지지	정하/VV+여/EC+지/VX+지/EC
않았지만	않/VX+았/EP+지만/EC
이미	이미/MAG
청와대	청와대/NNP
정무수석에게는	정무수석/NNG+에게/JKB+는/JX
유선을	유선/NNG+을/JKO
통해	통하/VV+여/EC
당의	당/NNG+의/JKG
우려	우려/NNG
상황을	상황/NNG+을/JKO
설명한	설명하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

한편	한편/MAG
새누리당과	새누리당/NNP+과/JC
민주통합당은	민주통합당/NNP+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
국회에서	국회/NNG+에서/JKB
현병철	현병철/NNP
인권위원장	인권위원장/NNG
연임	연임/NNG
인사청문회를	인사청문회/NNG+를/JKO
가진바	가진바/MAG
있다	있/VA+다/EF

당시	당시/NNG
민주통합당은	민주통합당/NNP+은/JX
물론	물론/MAG
새누리당	새누리당/NNP
내부에서도	내부/NNG+에서/JKB+도/JX
부적격	부적격/NNG
논란이	논란/NNG+이/JKS
일면서	일/VV+면서/EC
인사청문보고서를	인사청문보고서/NNG+를/JKO
채택하지	채택하/VV+지/EC
않았다	않/VX+았/EP+다/EF

이에	이/NP+에/JKB
더해	더하/VV+여/EC
민주통합당은	민주통합당/NNP+은/JX
부적격	부적격/NNG
의견이	의견/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
인사청문보고서를	인사청문보고서/NNG+를/JKO
단독으로	단독/NNG+으로/JKB
청와대에	청와대/NNP+에/JKB
제출하기도	제출하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF
