뇌병변장애	뇌병변장애/NNG
커플의	커플/NNG+의/JKG
결혼	결혼/NNG
성공기	성공/NNG+기/XSN
‘나비와	‘/SN+나비/NNG+와/JC
바다’	바다/NNG+’/SN

뇌병변장애를	뇌병변장애/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
남녀	남녀/NNG
커플의	커플/NNG+의/JKG
결혼	결혼/NNG
성공기	성공/NNG+기/XSN
영화	영화/NNG
'나비와	'/SS+나비/NNG+와/JC
바다'가	바다/NNG+'/SS+가/JKS
화제를	화제/NNG+를/JKO
모으고	모으/VV+고/EC
있다	있/VX+다/EC

박배일	박배일/NNP
감독의	감독/NNG+의/JKG
'나비와	'/SS+나비/NNP+와/JC
바다'는	바다/NNG+'/SS+는/JX
이미	이미/MAG
제16회	제/XPN+16/SN+회/NNB
부산국제영화제	부산/NNP+국제영화제/NNG
에서	에서/JKB
‘BIFF	‘BIFF/SL
메세나’상을	메세나’상/NNG+을/JKO
수상했다	수상하/VV+였/EP+다/EC

또한	또한/MAG
제13회	제/XPN+13/SN+회/NNB
장애인영화제,	장애인영화제/NNG+,/SP
제8회	제/XPN+8/SN+회/NNB
대만국제다큐멘터리영화제	대만/NNP+국제다큐멘터리영화제/NNG
등에서도	등/NNB+에서/JKB+도/JX
상영하며	상영하/VV+며/EC
관객들의	관객/NNG+들/XSN+의/JKG
호평을	호평/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

이	이/MM
영화는	영화/NNG+는/JX
우영·제제	우영/NNP+·/SP+제제/NNG
커플이	커플/NNG+이/JKS
‘결혼’에	‘/SN+결혼/NNG+’/SL+에/JKB
이르는	이르/VV+는/ETM
과정	과정/NNG
속에서	속/NNG+에서/JKB
겪게	겪/VV+게/EC
되는	되/VV+는/ETM
다양한	다양하/VA+ㄴ/ETM
갈등을	갈등/NNG+을/JKO
담아냈다	담아내/VV+었/EP+다/EF

장애인	장애인/NNG
부부들이	부부/NNG+들/XSN+이/JKS
실제	실제/NNG
겪을	겪/VV+을/ETM
수	수/NNB
밖에	밖에/JX
없는	없/VA+는/ETM
현실적	현실적/NNG
고민과	고민/NNG+과/JC
갈등을	갈등/NNG+을/JKO
사실적으로	사실적/NNG+으로/JKB
풀어내	풀어내/VV+어/EC
관객들의	관객/NNG+들/XSN+의/JKG
호응을	호응/NNG+을/JKO
불러일으킬	불러일으키/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

띠동갑의	띠동갑/NNG+의/JKG
나이차를	나이차/NNG+를/JKO
극복하고	극복하/VV+고/EC
8년을	8/SN+년/NNB+을/JKO
만나왔다	만나/VV+아/EC+오/VX+았/EP+다/EF

항상	항상/MAG
그녀를	그녀/NP+를/JKO
바래다	바래/VV+어다/EC
주지	주/VX+지/EC
못한	못하/VX+ㄴ/ETM
미안한	미안하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
결혼을	결혼/NNG+을/JKO
하기로	하/VV+기/ETN+로/JKB
마음에	마음/NNG+에/JKB
먹는다	먹/VV+는다/EC

‘남편과	‘/SL+남편/NNG+과/JC
아내’로	아내’/NNG+로/JKB
규정되는	규정되/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
역할에	역할/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부담은	부담/NNG+은/JX
서로에게	서로/NNG+에게/JKB
점점	점점/MAG
커져만	커지/VV+어/EC+만/JX
가고,	가/VV+고/EC+,/SP
주변의	주변/NNG+의/JKG
우려	우려/NNG
섞인	섞이/VV+ㄴ/ETM
시선은	시선/NNG+은/JX
공포로	공포/NNG+로/JKB
다가온다	다가오/VV+ㄴ다/EF

이들은	이/NP+들/XSN+은/JX
결혼의	결혼/NNG+의/JKG
문	문/NNG
턱을	턱/NNG+을/JKO
넘을	넘/VV+을/ETM
수	수/NNB
있을까?'나비와	있/VA+을까/EF+?/SF+'/SS+나비/NNP+와/JC
바다'	바다/NNG+'/SS
오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
24일	24/SN+일/NNB
개봉	개봉/NNG
예정	예정/NNG
