법원	법원/NNG
"입양딸	"/SS+입양딸/NNG
폭행치사	폭행치사/NNG
母,	母/SL+,/SP
남은	남/NNG+은/JX
아이	아이/NNG
친권도	친권도/NNG
박탈"	박탈/NNG+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이상현	이상현/NNP
기자	기자/NNG
=	=/SW
입양한	입양하/VV+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
딸을	딸/NNG+을/JKO
폭행해	폭행하/VV+여/EC
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/EF
여성이	여성/NNG+이/JKS
남은	남/VV+은/ETM
입양아에	입양아/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
친권마저	친권/NNG+마저/JX
잃게	잃/VV+게/EC
됐다	되/VV+었/EP+다/EC

서울가정법원	서울/NNP+가정법원/NNG
가사합의2부(박종택	가사합의/NNG+2/SN+부/NNB+(/SS+박종택/NNP
부장판사)는	부장판사/NNG+)/SS+는/JX
상해치사	상해치사/NNP
혐의로	혐의/NNG+로/JKB
중형을	중형/NNG+을/JKO
선고받은	선고/NNG+받/VV+은/ETM
A씨(여)로부터	A/SL+씨/NNB+(/SS+여/NNG+)/SS+로부터/JKB
부모로서의	부모/NNG+로서/JKB+의/JKG
권리를	권리/NNG+를/JKO
박탈해달라는	박탈하/VV+여/EC+달/VX+라는/ETM
검사의	검사/NNG+의/JKG
친권상실선고	친권상실선고/NNG
청구를	청구/NNG+를/JKO
받아들였다고	받아들이/VV+었/EP+다고/EC
25일	25/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
A씨는	A/SL+씨/NNB+는/JX
교제하던	교제하/VV+던/ETM
남성과의	남성/NNG+과/JKB+의/JKG
사이에서	사이/NNG+에서/JKB
임신한	임신하/VV+ㄴ/ETM
아이를	아이/NNG+를/JKO
유산하자,	유산하/VV+자/EC+,/SP
남성	남성/NNG
몰래	몰래/MAG
뇌병변장애	뇌병변장애/NNG
1급의	1/SN+급/NNG+의/JKG
장애아(남)를	장애아/NNG+(/SS+남/NNG+)/SS+를/JKO
입양한	입양하/VV+ㄴ/ETM
뒤	뒤/NNG
친자식인	친자식/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
속여	속이/VV+어/EC
출생신고를	출생신고/NNG+를/JKO
했다	하/VV+였/EP+다/EF

A씨는	A/SL+씨/NNB+는/JX
이듬해	이듬해/NNG
생후	생후/NNG
3개월	3/SN+개월/NNB
된	되/VV+ㄴ/ETM
여자	여자/NNG
아이를	아이/NNG+를/JKO
다시	다시/MAG
입양했는데	입양하/VV+였/EP+는데/EC
이후	이후/NNG
수차례	수차례/NNG
구타해	구타하/VV+여/EC
뇌	뇌/NNG
손상을	손상/NNG+을/JKO
입혔고,	입허/VV+였/EP+고/EC+,/SP
이	이/MM
때문에	때문/NNB+에/JKB
결국	결국/NNG
아이가	아이/NNG+가/JKS
사망하면서	사망하/VV+면서/EC
상해치사	상해치사/NNP
혐의로	혐의/NNG+로/JKB
기소돼	기소되/VV+어/EC
대법원에서	대법원/NNG+에서/JKB
올해	올해/NNG
9월	9/SN+월/NNB
징역	징역/NNG
6년의	6/SN+년/NNB+의/JKG
확정판결을	확정판결/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

이후	이후/NNG
A씨	A/SL+씨/NNB
가족들이	가족/NNG+들/XSN+이/JKS
입양아들을	입양아들/NNG+을/JKO
키우겠다고	키우/VV+겠/EP+다고/EC
주장했지만,	주장하/VV+었/EP+지만/EC+,/SP
어린이집을	어린이집/NNG+을/JKO
통학시키는	통학/NNG+시키/XSV+는/ETM
것	것/NNB
외에	외/NNB+에/JKB
별다른	별다르/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취하지는	취하/VV+지/EC+는/JX
않았으며,	않/VX+았/EP+으며/EC+,/SP
