12일간	12/SN+일/NNB+간/XSN
밝힌	밝히/VV+ㄴ/ETM
런던의	런던/NNP+의/JKG
등불	등불/NNG
꺼지다	꺼지/VV+다/EC

대회기간	대회기간/NNG
스타디움을	스타디움/NNG+을/JKO
환하게	환하/VA+게/EC
밝혔던	밝히/VV+었/EP+던/ETM
런던	런던/NNP
패럴림픽의	패럴림픽/NNG+의/JKG
성화가	성화/NNG+가/JKS
12일	12/SN+일/NNB
만에	만/NNB+에/JKB
꺼졌다	꺼지/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
오후	오후/NNG
8시(현지시간)	8/SN+시/NNB+(/SS+현지시간/NNG+)/SS
런던	런던/NNP
올림픽메인스타디움에서는	올림픽메인스타디움/NNG+에서/JKB+는/JX
세계인에게	세계인/NNG+에게/JKB
감동을	감동/NNG+을/JKO
심어	심/VV+어/EC
준	주/VX+ㄴ/ETM
장애인	장애인/NNG
스포츠	스포츠/NNG
제전	제전/NNG
패럴림픽	패럴림픽/NNG
폐막식이	폐막식/NNG+이/JKS
진행됐다	진행되/VV+었/EP+다/EF

대회	대회/NNG
기간	기간/NNG
동안	동안/NNG
경기장을	경기장/NNG+을/JKO
가득	가득/MAG
메웠던	메우/VV+었/EP+던/ETM
관중들은	관중/NNG+들/XSN+은/JX
파도타기	파도타기/NNG
응원,	응원/NNG+,/SP
모바일폰	모바일폰/NNG
플레쉬를	플레쉬/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
응원	응원/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
퍼포먼스를	퍼포먼스/NNG+를/JKO
펼치며	펼치/VV+며/EC
경기를	경기/NNG+를/JKO
무사히	무사히/MAG
마친	마치/VV+ㄴ/ETM
세계	세계/NNG
각국의	각국/NNG+의/JKG
선수들을	선수/NNG+들/XSN+을/JKO
축하해주고,	축하하/VV+여/EC+주/VX+고/EC+,/SP
500여개	500/SN+여/XSN+개/NNB
세부	세부/NNG
종목에서	종목/NNG+에서/JKB
경쟁하며	경쟁하/VV+며/EC
자신과의	자신/NNG+과/JKB+의/JKG
싸움을	싸움/NNG+을/JKO
펼쳤던	펼치/VV+었/EP+던/ETM
세계	세계/NNG
150개국	150/SN+개국/NNB
7천여명의	7/SN+천/NR+여/XSN+명/NNB+의/JKG
선수단은	선수단/NNG+은/JX
런던에서의	런던/NNP+에서/JKB+의/JKG
추억을	추억/NNG+을/JKO
등지며	등지/VV+며/EC
아쉬운	아쉽/VA+ㄴ/ETM
작별을	작별/NNG+을/JKO
고했다	고하/VV+였/EP+다/EC

공식행사가	공식행사/NNG+가/JKS
시작되고	시작되/VV+고/EC
한국	한국/NNP
최초의	최초/NNG+의/JKG
장애인	장애인/NNG
여의사인	여의사/NNG+이/VCP+ㄴ/ETM
황연대	황연대/NNP
박사는	박사/NNG+는/JX
국제패럴림픽위원회(IPC)의	국제패럴림픽위원회/NNP+(/SS+IPC/SL+)/SS+의/JKG
그레고리	그레고리/NNP
부회장과	부회장/NNG+과/JKB
함께	함께/MAG
‘황연대	‘/SL+황연대/NNG
성취상’	성취상’/NNG
을	을/JKO
시상했다	시상하/VV+였/EP+다/EC

오스카	오스카/NNP
피스토리우스	피스토리우스/NNP
선수	선수/NNG
등	등/NNB
6명의	6/SN+명/NNB+의/JKG
남녀	남녀/NNG
선수가	선수/NNG+가/JKS
후보로	후보/NNG+로/JKB
선정돼	선정되/VV+어/EC
수상자를	수상자/NNG+를/JKO
선정한	선정하/VV+ㄴ/ETM
이번	이번/NNG
대회의	대회/NNG+의/JKG
영광의	영광/NNG+의/JKG
선수는	선수/NNG+는/JX
아일랜드	아일랜드/NNP
육상선수	육상선수/NNG
마이클	마이클/NNP
매킬럽과	매킬럽/NNP+과/JC
케냐의	케냐/NNP+의/JKG
투척	투척/NNG
육상선수	육상선수/NNG
메리	메리/NNG
자카요로	자카요/NNG+로/JKB
이들에게는	이/NP+들/XSN+에게/JKB+는/JX
순금	순금/NNG
메달이	메달/NNG+이/JKS
수여됐다	수여되/VV+었/EP+다/EF

식전,	식전/NNG+,/SP
식후로	식후/NNG+로/JKB
나뉜	나뉘/VV+ㄴ/ETM
폐막식	폐막식/NNG
공연도	공연/NNG+도/JX
환상적이었다	환상/NNG+적/XSN+이/VCP+었/EP+다/EF

장내	장내/NNG
고요하게	고요하/VA+게/EC
울려	울리/VV+어/EC
퍼지는	퍼지/VV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
음악	음악/NNG
선율에	선율/NNG+에/JKB
맞춰	맞추/VV+어/EC
