"장애인	"/SS+장애인/NNG
접근권	접근권/NNG
보장하라"	보장하/VV+라/EF+"/SS
서울메트로	서울메트로/NNP
상대	상대/NNG
소송	소송/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
한지훈	한지훈/NNP
기자	기자/NNG
=	=/SW
날마다	날/NNG+마다/JX
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
지하철로	지하철/NNG+로/JKB
출퇴근하는	출퇴근하/VV+는/ETM
지체장애인이	지체장애인/NNG+이/JKS
`환승역에	`/SW+환승역/NNG+에/JKB
엘리베이터를	엘리베이터/NNG+를/JKO
설치하라'며	설치하/VV+라/EF+'/SS+며/EC
서울메트로를	서울메트로/NNP+를/JKO
상대로	상대/NNG+로/JKB
소송을	소송/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

24일	24/SN+일/NNB
법조계에	법조계/NNG+에/JKB
따르면	따르/VV+면/EC
박모(51)씨는	박/NNP+모/NP+(/SS+51/SN+)/SS+씨/NNB+는/JX
서울지하철	서울지하철/NNP
1~4호선을	1/SN+~/SO+4/SN+호/NNB+선/XSN+을/JKO
운영하는	운영하/VV+는/ETM
서울메트로를	서울메트로/NNP+를/JKO
상대로	상대/NNG+로/JKB
장애인용	장애인/NNG+용/XSN
승강기	승강기/NNG
설치	설치/NNG
등	등/NNB
청구소송을	청구소송/NNG+을/JKO
서울중앙지법에	서울중앙/NNP+지법/NNG+에/JKB
냈다	내/VV+었/EP+다/EF

박씨는	박/NNP+씨/NNB+는/JX
종로3가역	종로/NNP+3/SN+가역/NNG
환승구간과	환승구간/NNG+과/JC
출구에	출구/NNG+에/JKB
장애인용	장애인/NNG+용/XSN
승강기를	승강기/NNG+를/JKO
설치하되	설치하/VV+되/EC
내년	내년/NNG
말까지	말/NNB+까지/JX
이를	이/NP+를/JKO
완료하지	완료하/VV+지/EC
않으면	않/VX+으면/EC
매일	매일/MAG
20만원씩	20/SN+만/NR+원/NNB+씩/XSN
지급하라고	지급하/VV+라고/EC
청구했다	청구하/VV+였/EP+다/EF

정신적인	정신적/NNG+이/VCP+ㄴ/ETM
손해배상	손해배상/NNG
500만원도	500/SN+만/NR+원/NNB+도/JX
청구했다	청구하/VV+였/EP+다/EF

박씨는	박/NNP+씨/NNB+는/JX
"서울	"/SS+서울/NNP
중랑구	중랑구/NNP
상봉동에서	상봉동/NNP+에서/JKB
중구	중구/NNG
초동으로	초동/NNG+으로/JKB
매일	매일/MAG
출퇴근하면서	출퇴근하/VV+면서/EC
종로3가역에서	종로/NNP+3/SN+가역/NNG+에서/JKB
지하철을	지하철/NNG+을/JKO
갈아탄다"며	갈아타/VV+ㄴ다/EF+"/SS+며/EC
"휠체어	"/SS+휠체어/NNG
리프트가	리프트/NNG+가/JKS
잦은	잦/VA+은/ETM
고장과	고장/NNG+과/JC
사고로	사고/NNG+로/JKB
위험한	위험하/VA+ㄴ/ETM
데다	데/NNB+다/JX
엘리베이터는	엘리베이터/NNG+는/JX
매우	매우/MAG
부족하다"고	부족하/VA+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

이어	이어/MAG
"피고는	"/SS+피고/NNG+는/JX
기초	기초/NNG
편의시설을	편의시설/NNG+을/JKO
제공해	제공하/VV+여/EC
장애인	장애인/NNG
접근권을	접근권/NNG+을/JKO
보장해야	보장하/VV+여야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"운송계약상	"/SS+운송계약상/NNG
의무를	의무/NNG+를/JKO
위반하고	위반하/VV+고/EC
장애인차별금지법상	장애인차별금지법/NNG+상/XSN
차별행위를	차별행위/NNG+를/JKO
하고	하/VV+고/EC
있어	있/VX+어/EC
손해배상	손해배상/NNG
책임이	책임/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

hanjh@yna	hanjh/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
