성폭행범	성폭행/NNG+범/XSN
봉사왕	봉사왕/NNP
둔갑시킨	둔갑/NNG+시키/XSV+ㄴ/ETM
교사	교사/NNG
고발키로	고발하/VV+기/ETN+로/JKB

‘대전	‘/SL+대전/NNG
지적장애	지적장애/NNG
여중생	여중생/NNG
집단	집단/NNG
성폭행	성폭행/NNG
사건	사건/NNG
진상조사위원회(이하	진상조사위원회/NNG+(/SS+이하/NNG
진상조사위)’가	진상조사위/NNG+)/SS+’/SL+가/JKS
대전	대전/NNP
지적장애	지적장애/NNG
여중생	여중생/NNG
성폭행	성폭행/NNG
가해자로	가해자/NNG+로/JKB
부정입학에	부정입학/NNG+에/JKB
관련된	관련되/VV+ㄴ/ETM
학생,	학생/NNG+,/SP
교사	교사/NNG
등을	등/NNB+을/JKO
‘업무방해’	‘/SN+업무방해’/NNG
및	및/MAG
‘교육공무원법	‘/SL+교육공무원법/NNG
위반’으로	위반/NNG+’/SL+으로/JKB
서울중앙지방검찰청에	서울중앙/NNP+지방검찰청/NNG+에/JKB
고발키로	고발하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

2010년	2010/SN+년/NNB
발생한	발생하/VV+ㄴ/ETM
지적장애	지적장애/NNG
여중생에	여중생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
집단성폭행	집단성폭행/NNG
사건이	사건/NNG+이/JKS
솜방망이	솜방망이/NNG
처벌로	처벌/NNG+로/JKB
끝난	끝나/VV+ㄴ/ETM
이후	이후/NNG
사건	사건/NNG
가해자	가해자/NNG
중	중/NNB
한	한/MM
학생이	학생/NNG+이/JKS
성균관대학교	성균관대학교/NNP
입학사정관제	입학사정관/NNG+제/XSN
리더십전형에서	리더십전형/NNG+에서/JKB
‘봉사왕’으로	‘/SN+봉사왕/NNG+’/SL+으로/JKB
부정입학한	부정/NNG+입학하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
최근	최근/NNG
언론을	언론/NNG+을/JKO
통해	통하/VV+여/EC
알려지면서	알려지/VV+면서/EC
충격을	충격/NNG+을/JKO
안겼다	안기/VV+었/EP+다/EF

이에	이/NP+에/JKB
대전	대전/NNP
지적장애여성	지적장애여성/NNG
집단	집단/NNG
성폭행사건	성폭행사건/NNG
공동대책위원회와	공동대책위원회/NNG+와/JC
민주통합당	민주통합당/NNP
우원식·유승희	우원식/NNP+·/SP+유승희/NNP
국회의원,	국회의원/NNG+,/SP
전국성폭력상담소협의회는	전국성폭력상담소협의회/NNP+는/JX
부정입학	부정입학/NNG
사건	사건/NNG
직후	직후/NNG
사안의	사안/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
함께	함께/MAG
공감하고	공감하/VV+고/EC
진상조사위를	진상조사위/NNG+를/JKO
구성했다	구성하/VV+였/EP+다/EF

대전교육청도	대전교육청/NNP+도/JX
사건이	사건/NNG+이/JKS
불거지자	불거지/VV+자/EC
해당	해당/NNG
학교에	학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특별감사를	특별감사/NNG+를/JKO
실시	실시/NNG
최근	최근/NNG
교사들에	교사/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
불법성이	불법성/NNG+이/JKS
있었다고	있/VA+었/EP+다고/EC
판단하고	판단하/VV+고/EC
해당	해당/NNG
담임에	담임/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
‘정직’을,	‘/SL+정직/NNG+’/SL+을/JKO+,/SP
교감	교감/NNG
등에	등/NNB+에/JKB
대해서는	대하/VV+여서/EC+는/JX
‘감봉’	‘/SL+감봉’/NNG
처분	처분/NNG
등을	등/NNB+을/JKO
요청한	요청하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

진상조사위는	진상조사위/NNG+는/JX
“우선	“/SN+우선/NNG
대전교육청	대전/NNP+교육청/NNG
특별감사로	특별감사/NNG+로/JKB
밝혀진	밝혀지/VV+ㄴ/ETM
사실에	사실/NNG+에/JKB
근거해	근거하/VV+여/EC
관련자들의	관련자/NNG+들/XSN+의/JKG
불법성을	불법성/NNG+을/JKO
검토했고	검토하/VV+었/EP+고/EC
이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
학생에	학생/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
‘업무방해’	‘/SN+업무방해/NNG+’/SL
교사들에	교사/NNG+들/XSN+에/JKB
대해서는	대하/VV+여서/EC+는/JX
‘교육공무원법’	‘/SL+교육공무원법/NNG+’/SN
위반혐의로	위반혐의/NNG+로/JKB
고발하기로	고발하/VV+기/ETN+로/JKB
결정했다”고	결정하/VV+였/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

이어	이어/MAG
“비록	“/SN+비록/MAG
가해자는	가해자/NNG+는/JX
입학취소	입학취소/NNG
처분을	처분/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
이	이/MM
사건이	사건/NNG+이/JKS
보여주는	보이/VV+어/EC+주/VX+는/ETM
우리	우리/NP
교육의	교육/NNG+의/JKG
편향된	편향되/VV+ㄴ/ETM
모습은	모습/NNG+은/JX
많은	많/VA+은/ETM
사람들을	사람/NNG+들/XSN+을/JKO
실망시켰다“며	실망/NNG+시키/XSV+었/EP+다/EC+“/VX+며/EC
”담담교사를	”/SL+담담교사/NNG+를/JKO
비롯해,	비롯하/VV+여/EC+,/SP
많은	많/VA+은/ETM
교사들이	교사/NNG+들/XSN+이/JKS
이	이/MM
사건에	사건/NNG+에/JKB
직간접적으로	직간접/NNG+적/XSN+으로/JKB
관련이	관련/NNG+이/JKC
돼	되/VV+어/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
그냥	그냥/MAG
묵과할	묵과하/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

